"","fips","state","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","Klans","TOTCNG","TOTADH","TOTRATE","EVANCNG","EVANADH","EVANRATE","BPRTCNG","BPRTADH","BPRTRATE","MPRTCNG","MPRTADH","MPRTRATE","CATHCNG","CATHADH","CATHRATE","ORTHCNG","ORTHADH","ORTHRATE","OTHCNG","OTHADH","OTHRATE","OCGCNG","AMECNG","AMEADH","AMERATE","AMEZCNG","AMEZADH","AMEZRATE","ALBCNG","ALBADH","ALBRATE","AWMCCNG","AWMCADH","AWMCRATE","ALBPCNG","AMANCNG","AMANADH","AMANRATE","AAMCNG","AAMADH","AAMRATE","AALCCNG","ABACNG","ABAADH","ABARATE","ABCCNG","ABCADH","ABCRATE","ACROCNG","ACROADH","ACRORATE","APCCNG","AMSHCNG","AMSHADH","AMSHRATE","ACNACNG","AOCACNG","AOCAADH","AOCARATE","ACCACNG","ACCAADH","ACCARATE","AFMCNG","AFMADH","AFMRATE","ALCACNG","AACACNG","AACAADH","AACARATE","ARMCNG","ARMADH","ARMRATE","AECCNG","AGCNG","AGADH","AGRATE","AGIFCNG","ARPCCNG","ARPCADH","ARPCRATE","AFLCCNG","AMCCNG","ARBCCNG","BAHCNG","BAHADH","BAHRATE","BAMCCNG","BAMCADH","BAMCRATE","BAMCNG","BAMADH","BAMRATE","BFCCNG","BFCADH","BFCRATE","BPCCNG","BCACNG","BCAADH","BCARATE","BCCCNG","BRUDCNG","BRUDADH","BRUDRATE","BUDMCNG","BUDMADH","BUDMRATE","BUDTCNG","BUDTADH","BUDTRATE","BUDVCNG","BUDVADH","BUDVRATE","BULGCNG","BULGADH","BULGRATE","CCFCCNG","CARCCNG","CTHCNG","CTHADH","CTHRATE","CYMFCNG","CYMFADH","CYMFRATE","CMACNG","CMAADH","CMARATE","CBCNG","CCDCCNG","CCDCADH","CCDCRATE","CCCCCNG","CCCCADH","CCCCRATE","CMECNG","CMEADH","CMERATE","CRCCNG","CRCADH","CRCRATE","CUCNG","CCHCNG","CCSCNG","CGAICNG","CGAIADH","CGAIRATE","CGCTCNG","CGCTADH","CGCTRATE","CG7DCNG","CGFCNG","CGGCCNG","CGGCADH","CGGCRATE","CGCCNG","CGCADH","CGCRATE","CGCMCNG","CGCMADH","CGCMRATE","CGPCNG","CGPADH","CGPRATE","CGAFCNG","CGMACNG","LDSCNG","LDSADH","LDSRATE","CAFCNG","CBRCNG","CBRADH","CBRRATE","CLBACNG","CLBAADH","CLBARATE","CLCCNG","NAZCNG","NAZADH","NAZRATE","CUBCCNG","CUBCADH","CUBCRATE","CHCHCNG","CHCHADH","CHCHRATE","CCCUCNG","CHGNCNG","CHGNADH","CHGNRATE","CRECCNG","COCCNG","COCADH","COCRATE","CCCCNG","CCCADH","CCCRATE","CHCCNG","CHCADH","CHCRATE","CMCCNG","CMCADH","CMCRATE","CBACNG","CCONCNG","CCONADH","CCONRATE","CJUDCNG","CJUDADH","CJUDRATE","CLACNG","CMCOCNG","CMCOADH","CMCORATE","CYFRCNG","CYFRADH","CYFRRATE","OFWBCNG","OFWBADH","OFWBRATE","CWCNG","CWADH","CWRATE","COPTCNG","COPTADH","COPTRATE","CRPCCNG","CUMBCNG","CUMBADH","CUMBRATE","CPCACNG","ELIMCNG","EBACNG","ECCNG","ECADH","ECRATE","EOCNG","EOADH","EORATE","ETHOCNG","EARCNG","EVCHCNG","ECCCNG","ECCADH","ECCRATE","ECOVCNG","ECOVADH","ECOVRATE","EFCACNG","EFCAADH","EFCARATE","EFCICNG","EFCIADH","EFCIRATE","ELCACNG","ELCAADH","ELCARATE","White","Black","Hispanic","Asian","Natives","Mixed","Metro_NonMetro","Farming_2015_Update","Mining_2015_Update","Manufacturing_2015_Update","Government_2015_Update","Recreation_2015_Update","Nonspecialized_2015_Update","Low_Education_2015_Update","Low_Employment_Cnty_2008_2012_25_64","Pop_Loss_2010","Retirement_Dest_2015_Update","Persistent_Poverty_2013","Persistent_Related_Child_Poverty_2013","votes","fraction_votes","voting_pop_percent","voting_population","absolute_votes","White_new","Black_new","Native_new","Asian_new","Islander_new","Mixed_new","Hispanic_new"
"11","16000","Idaho","1634464","1567652","4.3","1567582","7.0","26.4","14.3","49.9","93.5","0.8","1.7","1.4","0.2","2.3","12.0","82.8","82.8","5.9","10.4","88.8","25.1","122955","20.0","685099","69.8","14.9","162100","579797","2.68","22568","46767","15.5","43124","509986","3.3","115043","151671","0.2","0.9","0.8","0.0","2.6","23.5","18010976","14286715","20526631","13691","2415951","8797","82643.12","19.0",25,"2427","801655","511.4","881","201546","128.57","5","822","0.52","253","57056","36.4","108","123400","78.72","8","818","0.52","1172","418013","266.66","","","","","","","","","","","","","","","","","","","","","","5","345","0.22","36","7363","4.7","","","","","","","","2","4","363","0.23","","","","","","","","","","","","","","","89","22183","14.15","","","","","","","1","10","814","0.52","","","","","","","","","","1","","","","","","","","8","1514","0.97","2","566","0.36","3","106","0.07","","","","29","","108","123400","78.72","","","","8","1573","1","1","16","3261","2.08","27","20145","12.85","2","252","0.16","1","33","0.02","","","8","8","1329","0.85","12","750","0.48","1","","","","","3","570","0.36","8","1183","0.75","11","473","0.3","","","1067","409265","261.08","","6","757","0.48","1","435","0.28","1","53","17967","11.46","2","23","0.01","43","3267","2.08","","","","","4","8","1024","0.65","","","","","","","","","","10","3","309","0.2","","","","","","","","","","","","","","1","90","0.06","","","","","","","","","","","36","5887","3.76","","","","","","","","","","1","79","0.05","8","1095","0.7","15","2296","1.46","35","8337","5.32","0.82","0.01","0.13","0.01","N/A","0.02",12,12,2,2,8,11,15,7,7,2,10,1,1,62478,13.578,40.7,665227,9,93.5,0.8,1.7,1.4,0.2,2.3,12
"12","17000","Illinois","12880580","12831587","0.4","12830632","6.1","23.2","13.9","50.9","77.5","14.7","0.6","5.3","0.1","1.8","16.7","62.3","86.8","13.8","22.3","87.3","31.4","727919","28.0","5307222","67.5","32.9","182300","4772723","2.63","29666","56797","14.1","315364","5209070","1.7","928461","1123817","9.5","0.5","5.3","0.1","5.0","30.5","257760713","231082768","165450520","12947","25469026","20579","55518.93","231.1",10173,"12453","7094832","552.96","6400","1649402","128.55","668","220435","17.18","3216","933690","72.77","1089","3648907","284.39","118","76138","5.93","962","566260","44.13","","109","23924","1.86","18","3905","0.3","1","350","0.03","","","","2","","","","","","","1","15","888","0.07","274","69456","5.41","3","593","0.05","","47","6267","0.49","40","7","4521","0.35","19","9478","0.74","1","43","0","","3","2000","0.16","5","2850","0.22","","320","119747","9.33","1","","","","22","","2","41","5715","0.45","2","360","0.03","1","197","0.02","","","","","3","287","0.02","3","","","","50","21202","1.65","23","8805","0.69","13","1270","0.1","2","425","0.03","14","","1082","3648907","284.39","","","","53","7258","0.57","10","153","41052","3.2","482","131926","10.28","37","12269","0.96","47","16337","1.27","","6","59","100","8196","0.64","134","16656","1.3","7","","11","609","0.05","163","31792","2.48","1","95","0.01","18","1047","0.08","","","128","55750","4.35","5","38","4370","0.34","1","260","0.02","2","223","34303","2.67","3","59","0","275","26427","2.06","","26","4102","0.32","2","53","5334","0.42","","","","","","","","","","33","14","2621","0.2","21","20325","1.58","","1","142","0.01","","","","","","","99","17640","1.37","3","2600","0.2","","37","2724","0.21","2","2","","165","42623","3.32","2","610","0.05","1","2","3","10","672","0.05","78","13680","1.07","108","27188","2.12","1","21","0","497","222698","17.36","0.64","0.13","0.16","0.06","N/A","0.01",40,12,6,19,14,2,50,1,15,27,6,3,4,551464,42.575,37.1,4778695,12,77.5,14.7,0.6,5.3,0.1,1.8,16.7
"13","18000","Indiana","6596855","6484192","1.7","6483802","6.4","24.0","14.3","50.7","86.1","9.6","0.4","2.0","0.1","1.9","6.6","80.3","84.9","4.7","8.2","87.2","23.2","455105","23.2","2829532","70.0","18.5","122800","2481793","2.55","24635","48248","15.4","143515","2555979","1.7","390233","482847","4.6","0.5","1.8","0.0","1.8","26.8","221877814","67634947","78745589","12408","11669759","17816","35826.11","181.0",5096,"9061","2874144","443.28","5364","1238154","190.96","316","94705","14.61","2484","689902","106.4","453","747706","115.32","50","22883","3.53","394","80794","12.46","","54","12011","1.85","15","3157","0.49","","","","1","26","0","1","","","","1","127","0.02","","22","2204","0.34","338","94067","14.51","4","315","0.05","","300","45144","6.96","21","7","1492","0.23","12","3617","0.56","","","","","","","","","","","","257","54710","8.44","","","","","2","1","1","8","1319","0.2","11","1428","0.22","2","55","0.01","","","","","30","3882","0.6","4","","","","20","3502","0.54","5","350","0.05","2","156","0.02","3","105","0.02","19","","449","747706","115.32","6","280","0.04","31","5679","0.88","","185","66307","10.23","568","199088","30.71","18","6476","1","18","6092","0.94","7","4","26","143","20618","3.18","111","16698","2.58","1","","10","313","0.05","77","11729","1.81","2","185","0.03","29","1232","0.19","","10","99","41290","6.37","5","91","12250","1.89","","","","","269","55725","8.59","26","3535","0.55","334","34152","5.27","12","25","4902","0.76","1","12","1318","0.2","1","124","0.02","","","","","","","1","3","557","0.09","4","2968","0.46","","9","2287","0.35","","","","","","","11","4560","0.7","1","455","0.07","","6","543","0.08","","1","","83","14998","2.31","2","500","0.08","1","3","8","","","","7","1324","0.2","24","11783","1.82","","","","171","57417","8.86","0.78","0.09","0.09","0.03","N/A","0.01",44,2,2,42,8,7,34,2,10,8,3,0,1,590460,52.045,38.3,2526595,23,86.1,9.6,0.4,2,0.1,1.9,6.6
"14","19000","Iowa","3107126","3046869","2.0","3046355","6.3","23.4","15.8","50.3","92.1","3.4","0.5","2.2","0.1","1.7","5.6","87.1","84.8","4.5","7.2","91.0","25.7","226175","18.8","1362124","72.2","18.4","124300","1226547","2.42","27027","51843","12.4","80581","1305216","0.9","203763","259931","0.8","0.2","1.1","0.1","0.9","25.5","97592051","41068338","39234649","13172","4737719","10256","55857.13","54.5",965,"5107","1642344","539.12","2152","402376","132.08","47","17902","5.88","2150","666637","218.83","454","503080","165.14","15","2232","0.73","289","50117","16.45","","12","2198","0.72","1","138","0.05","","","","","","","","1","433","0.14","","","","10","","","","102","17165","5.63","","","","","52","7179","2.36","1","3","700","0.23","8","1989","0.65","","","","","","","","","","","","129","27755","9.11","","","","","7","","1","8","1019","0.33","2","370","0.12","1","110","0.04","","","","","1","96","0.03","1","","","","4","561","0.18","5","739","0.24","2","493","0.16","","","","7","","454","503080","165.14","","","","20","5199","1.71","8","136","38654","12.69","122","23591","7.74","1","126","0.04","59","20457","6.72","7","","13","9","287","0.09","19","1363","0.45","2","","3","79","0.03","9","1183","0.39","4","432","0.14","9","442","0.15","","","69","24614","8.08","","25","2536","0.83","3","479","0.16","","75","10173","3.34","2","17","0.01","71","4260","1.4","","8","355","0.12","1","49","7669","2.52","3","281","0.09","","","","","","","14","9","1859","0.61","3","1069","0.35","","5","555","0.18","9","545","0.18","","","","41","4950","1.62","2","130","0.04","1","1","27","0.01","","","","61","9060","2.97","","","","","","6","","","","18","1871","0.61","89","19945","6.55","","","","439","229557","75.35","0.88","0.03","0.05","0.03","N/A","N/A",21,30,0,33,3,1,39,2,0,42,1,0,1,45419,26.603,39.2,1217993,4,92.1,3.4,0.5,2.2,0.1,1.7,5.6
"15","20000","Kansas","2904021","2853132","1.8","2853118","6.9","24.9","14.3","50.2","86.8","6.3","1.2","2.8","0.1","2.8","11.4","76.8","83.2","6.7","11.0","89.8","30.3","211113","19.0","1248813","67.5","17.7","128400","1110440","2.51","26929","51332","13.7","73816","1150401","1.4","190838","237040","2.4","0.9","2.0","0.0","2.4","27.5","76751828","45863865","34538332","12444","4192347","7459","81758.72","34.9",4433,"4782","1444455","506.27","2511","516818","181.14","159","41666","14.6","1472","386980","135.63","343","426611","149.52","19","3397","1.19","278","68983","24.18","","41","6285","2.2","3","451","0.16","","","","","","","","","","","","","","1","11","1364","0.48","214","48497","17","","","","","10","940","0.33","2","9","1591","0.56","6","902","0.32","","","","","","","","","","","","151","29767","10.43","","","","","2","","1","6","1324","0.46","4","652","0.23","","","","","","","","3","303","0.11","7","","","","14","6122","2.15","9","1443","0.51","4","638","0.22","","","","12","","343","426611","149.52","","","","5","1374","0.48","4","123","38890","13.63","207","61549","21.57","8","1687","0.59","3","427","0.15","","1","9","49","7182","2.52","31","2080","0.73","2","","","","","52","8778","3.08","26","4427","1.55","10","536","0.19","4","","74","34190","11.98","1","27","2759","0.97","","","","","134","32538","11.4","5","144","0.05","166","17933","6.29","","3","168","0.06","1","34","6061","2.12","","","","","","","","","","1","3","516","0.18","2","2354","0.83","","2","280","0.1","","","","","","","2","180","0.06","1","535","0.19","","","","","","","","75","13629","4.78","","","","1","","","","","","26","7154","2.51","32","6615","2.32","40","4325","1.52","121","34368","12.05","0.75","0.06","0.12","0.04","N/A","0.02",19,46,14,12,7,1,29,10,0,52,1,0,0,17062,0.923,39.2,1138376,1,86.8,6.3,1.2,2.8,0.1,2.8,11.4
"16","21000","Kentucky","4413457","4339349","1.7","4339367","6.3","22.9","14.8","50.8","88.3","8.2","0.3","1.4","0.1","1.8","3.4","85.4","84.8","3.3","5.0","83.0","21.5","312365","22.8","1950382","68.4","18.0","120400","1694996","2.5","23462","43036","18.8","90675","1507375","1.8","274987","337600","3.1","0.3","1.6","0.0","1.1","25.6","119105421","74680759","50405925","11843","6300866","9536","39486.34","109.9",1702,"7745","2237714","515.68","5462","1448947","333.91","230","64958","14.97","1483","305955","70.51","308","359783","82.91","9","2133","0.49","253","55938","12.89","","56","8730","2.01","24","3257","0.75","","","","1","28","0.01","3","","","","4","414","0.1","1","19","3714","0.86","6","2989","0.69","","","","","62","8172","1.88","17","3","1255","0.29","1","12","0","","","","","","","","","","","","167","22578","5.2","","2","84","0.02","","1","2","2","715","0.16","3","337","0.08","1","109","0.03","","","","","2","192","0.04","4","","","","11","2674","0.62","","","","2","105","0.02","1","3","0","4","","308","359783","82.91","","","","22","6517","1.5","1","227","55034","12.68","382","137241","31.63","20","2882","0.66","","","","","1","5","126","10152","2.34","245","41216","9.5","","","","","","11","817","0.19","4","472","0.11","73","4490","1.03","","28","74","31991","7.37","2","4","306","0.07","","","","","131","17672","4.07","2","47","0.01","607","57388","13.22","4","","","","","5","568","0.13","","","","1","42","0.01","","","","1","","","","4","2571","0.59","","6","263","0.06","","","","","","","1","90","0.02","1","35","0.01","","100","9566","2.2","7","","31","71","17278","3.98","","","","1","2","1","1","48","0.01","1","498","0.11","11","2488","0.57","","","","32","6441","1.48","0.84","0.08","0.04","0.03","N/A","0.01",35,28,13,27,19,3,43,36,71,14,8,40,51,82493,47.986,37.7,1663873,5,88.3,8.2,0.3,1.4,0.1,1.8,3.4
"17","22000","Louisiana","4649676","4533479","2.6","4533372","6.6","23.9","13.6","51.1","63.4","32.5","0.8","1.8","0.1","1.5","4.8","59.3","85.8","3.9","8.7","82.6","21.8","304271","24.9","2010868","67.0","18.3","138900","1707852","2.6","24442","44874","19.1","104375","1687956","2.7","348367","375808","15.9","0.7","2.8","0.0","2.9","27.4","205054723","51415553","56543203","12921","9729869","15255","43203.9","104.9",2484,"5841","2746897","605.93","3494","1064486","234.81","741","217176","47.91","766","202751","44.72","564","1200900","264.9","15","2478","0.55","261","59106","13.04","","106","17863","3.94","16","2300","0.51","","","","1","23","0.01","2","","","","","","","","51","10724","2.37","5","5379","1.19","","","","","","","","7","4","563","0.12","","","","","","","","","","","1","200","0.04","","221","54478","12.02","","2","141","0.03","","","3","5","1319","0.29","1","19","0","","","","","","","","","","","","","","","12","4489","0.99","2","314","0.07","2","131","0.03","","","","8","","564","1200900","264.9","","","","6","197","0.04","2","20","3490","0.77","22","2846","0.63","107","17210","3.8","","","","","19","11","55","3615","0.8","64","9444","2.08","","","3","203","0.04","132","21746","4.8","3","437","0.1","21","835","0.18","","1","51","28567","6.3","6","1","114","0.03","","","","","47","4317","0.95","","","","228","24594","5.43","","1","12","0","3","5","540","0.12","","","","","","","10","443","0.1","","","","","2","723","0.16","","","","","","","","","","","2","180","0.04","3","178","0.04","","4","90","0.02","","","","95","28214","6.22","","","","","","","","","","","","","2","370","0.08","","","","18","4625","1.02","0.58","0.31","0.06","0.02","N/A","0.02",35,3,7,8,9,1,36,26,34,9,4,26,42,124818,28.203,37.5,1743628,7,63.4,32.5,0.8,1.8,0.1,1.5,4.8
"18","24000","Maryland","5976407","5773785","3.5","5773552","6.2","22.6","13.8","51.5","60.1","30.3","0.6","6.4","0.1","2.6","9.3","52.6","86.7","14.0","16.7","88.7","36.8","427068","32.0","2422194","67.6","25.5","292700","2146240","2.65","36354","73538","9.8","135421","2182260","1.4","456511","528112","19.3","0.6","6.8","0.1","4.9","32.6","41456097","51276797","75664186","13429","10758428","16331","9707.24","594.8",753,"5336","2415376","418.35","2484","693990","120.2","317","157854","27.34","1703","500112","86.62","301","837338","145.03","45","24799","4.3","486","201283","34.86","","134","78364","13.57","36","21713","3.76","","","","1","47","0.01","12","","","","","","","1","6","2002","0.35","105","52586","9.11","2","241","0.04","1","10","1512","0.26","27","5","1558","0.27","1","18","0","","","","","1","2000","0.35","","","","","119","29066","5.03","","7","886","0.15","2","1","","29","3109","0.54","1","82","0.01","","","","","","","","3","292","0.05","5","","","","25","6732","1.17","9","6028","1.04","12","891","0.15","","","","8","","300","837338","145.03","","","","23","2697","0.47","4","35","6378","1.1","35","8754","1.52","3","848","0.15","2","212","0.04","","","18","24","3308","0.57","126","31273","5.42","2","1","","","","22","3374","0.58","","","","21","1208","0.21","","","79","42614","7.38","9","62","10144","1.76","","","","","68","11027","1.91","5","128","0.02","50","8651","1.5","3","18","1185","0.21","1","5","685","0.12","","","","","","","","","","3","","","","21","28933","5.01","","1","439","0.08","1","0","","","","","19","17220","2.98","2","750","0.13","","1","14","0","","3","","207","70836","12.27","1","450","0.08","2","2","","1","0","","1","56","0.01","9","2378","0.41","1","96","0.02","207","79375","13.75","0.54","0.29","0.08","0.06","N/A","0.03",5,18,10,0,10,19,13,1,9,18,11,4,10,236623,13.883,36.4,2175412,11,60.1,30.3,0.6,6.4,0.1,2.6,9.3
"19","25000","Massachusetts","6745408","6547817","3.0","6547629","5.4","20.6","15.1","51.5","82.6","8.3","0.5","6.3","0.1","2.2","10.8","74.3","86.7","15.0","21.9","89.4","39.4","383087","28.0","2828492","62.7","41.7","330100","2530147","2.51","35763","66866","11.4","172533","3062689","0.9","484147","596790","3.4","0.4","4.5","0.0","3.3","29.8","86428959","95275672","88082966","13553","14917210","14486","7800.06","839.4",270,"4200","3748058","572.43","1395","224726","34.32","69","11200","1.71","1291","308286","47.08","649","2940199","449.05","104","61544","9.4","692","202103","30.87","","17","5405","0.83","10","1361","0.21","1","350","0.05","","","","5","","","","","","","","","","","277","49669","7.59","","","","","","","","24","11","6024","0.92","","","","","","","2","5","2300","0.35","8","4050","0.62","","146","33220","5.07","","","","","","","3","25","2757","0.42","","","","","","","","","","","","","","","","","","56","15340","2.34","17","11467","1.75","18","1697","0.26","2","236","0.04","9","","641","2940199","449.05","","","","28","4038","0.62","7","5","0","","8","181","0.03","2","279","0.04","5","1766","0.27","","","49","4","6890","1.05","64","5840","0.89","2","","","","","17","2040","0.31","","","","14","820","0.13","","","51","24965","3.81","7","","","","","","","","66","8908","1.36","1","43","0.01","28","2260","0.35","2","3","149","0.02","","6","612","0.09","7","1584","0.24","","","","","","","45","49","7828","1.2","34","26215","4","","","","","","","","","","","37","4890","0.75","1","4000","0.61","","1","35","0.01","","2","","238","81999","12.52","1","485","0.07","2","","","","","","21","4135","0.63","15","1879","0.29","","","","66","24228","3.7","0.72","0.07","0.11","0.08","N/A","0.02",13,62,0,10,5,3,21,3,1,49,2,1,4,311313,167.753,35.7,2408111,13,82.6,8.3,0.5,6.3,0.1,2.2,10.8
"20","26000","Michigan","9909877","9884133","0.3","9883640","5.8","22.4","15.4","50.9","79.9","14.2","0.7","2.9","0.0","2.3","4.8","75.8","85.3","6.1","9.1","88.9","25.9","672213","24.0","4539871","72.1","17.9","121700","3823280","2.53","25681","48411","16.8","217494","3535685","1.9","687136","816972","8.9","0.7","2.6","0.1","1.3","30.4","234455768","107109349","109102594","10855","14536648","15933","56538.9","174.8",2912,"9521","4165343","421.44","4999","1277144","129.22","545","214114","21.66","2244","653898","66.16","843","1717296","173.75","92","47533","4.81","798","255358","25.84","","67","21253","2.15","16","3402","0.34","","","","1","35","0","1","","","","","","","1","18","1513","0.15","146","53649","5.43","","","","","85","10218","1.03","13","12","5928","0.6","3","679","0.07","","","","16","1","3000","0.3","4","2625","0.27","","291","78068","7.9","1","","","","9","1","","22","2979","0.3","1","111","0.01","","","","","","","","1","97","0.01","6","","","","27","6849","0.69","11","4330","0.44","5","389","0.04","3","670","0.07","17","1","839","1717296","173.75","","","","34","5036","0.51","11","42","6016","0.61","110","20971","2.12","25","5391","0.55","230","97659","9.88","","4","41","107","11722","1.19","115","23514","2.38","8","1","5","280","0.03","145","33437","3.38","3","455","0.05","21","1350","0.14","","6","105","42319","4.28","16","23","1634","0.17","","","","8","185","40375","4.09","36","4684","0.47","193","28472","2.88","4","6","259","0.03","4","89","14863","1.5","3","944","0.1","","","","","","","16","16","1566","0.16","8","8297","0.84","","11","866","0.09","2","15","0","","","","66","9930","1","3","1840","0.19","","2","47","0","1","6","","216","40383","4.09","1","50","0.01","3","1","2","","","","52","11285","1.14","32","7588","0.77","7","497","0.05","320","120598","12.2","0.75","0.14","0.06","0.03","N/A","0.02",4,0,7,0,4,4,5,1,8,3,7,0,0,483751,32.988,37.8,3745934,13,79.9,14.2,0.7,2.9,0,2.3,4.8
"21","28000","Mississippi","2994079","2968103","0.9","2967297","6.5","24.4","14.3","51.4","59.7","37.5","0.6","1.0","0.1","1.2","3.0","57.3","85.8","2.2","3.9","81.5","20.1","200748","23.9","1294721","69.4","13.9","99900","1088073","2.65","20618","39031","22.7","58435","902638","0.8","201939","225977","18.0","0.3","1.8","0.0","0.8","26.9","59869456","23003585","33751407","11552","7045097","6871","46923.27","63.2",1682,"6765","1742916","587.37","4194","1168450","393.78","863","182556","61.52","1360","244121","82.27","154","112488","37.91","6","975","0.33","188","34326","11.57","","130","23243","7.83","42","6351","2.14","","","","","","","3","","","","","","","","31","3900","1.31","1","187","0.06","","","","","1","175","0.06","5","2","320","0.11","","","","","","","","","","","","","","","174","21355","7.2","","11","776","0.26","","","1","3","816","0.27","","","","","","","","","","","","","","","","","","3","229","0.08","1","14","0","","","","","","","5","","154","112488","37.91","","","","2","","","","44","5616","1.89","28","2790","0.94","199","30425","10.25","","","","","51","4","54","3214","1.08","176","23720","7.99","","2","","","","121","19804","6.67","8","1230","0.41","60","2268","0.76","","","43","21217","7.15","7","","","","","","","","51","4937","1.66","","","","369","42166","14.21","","2","0","","1","6","1091","0.37","","","","","","","37","2616","0.88","","","","","1","124","0.04","","","","","","","","","","","","","","","","","","16","1695","0.57","","","","81","19239","6.48","","","","","","","","","","2","151","0.05","","","","","","","13","1660","0.56","0.57","0.37","0.03","N/A","N/A","0.01",21,0,0,0,1,4,16,1,1,0,1,0,2,191755,41.246,38.7,1158709,17,59.7,37.5,0.6,1,0.1,1.2,3
"22","29000","Missouri","6063589","5988923","1.2","5988927","6.2","23.0","15.4","50.9","83.5","11.8","0.5","1.9","0.1","2.1","4.0","80.1","83.8","3.9","6.1","87.6","26.2","479828","23.1","2735742","68.4","19.7","137000","2360131","2.47","25649","47380","15.5","150290","2355336","1.5","393292","501064","4.9","0.6","1.9","0.1","1.2","26.1","110907604","81032913","76575216","12957","11070634","16003","68741.52","87.1",5577,"9001","2950894","492.72","5711","1518847","253.61","337","93900","15.68","1806","462246","77.18","505","724315","120.94","25","6745","1.13","617","144841","24.18","","86","17203","2.87","9","1514","0.25","","","","","","","5","","","","1","136","0.02","1","23","2701","0.45","27","19991","3.34","","","","","78","9833","1.64","9","2","127","0.02","4","446","0.07","1","42","0.01","","","","","1","85","0.01","","469","117904","19.69","","3","32","0.01","3","","","17","1883","0.31","1","16","0","2","159","0.03","","","","","","","","","","","","17","5130","0.86","15","1853","0.31","2","87","0.01","","","","16","","504","724315","120.94","","","","5","452","0.08","7","324","81509","13.61","317","72756","12.15","18","5192","0.87","2","93","0.02","19","6","25","79","5132","0.86","71","13597","2.27","6","","9","244","0.04","65","13787","2.3","7","881","0.15","27","923","0.15","7","","145","66071","11.03","5","13","581","0.1","","","","2","177","26451","4.42","1","43","0.01","443","42805","7.15","","11","713","0.12","1","108","26177","4.37","","","","","","","6","339","0.06","","","","","3","3659","0.61","","","","","1","87","0.01","","","","8","1500","0.25","1","250","0.04","","24","1207","0.2","","","","95","23609","3.94","","","","1","3","2","","","","10","1815","0.3","41","9626","1.61","2","257","0.04","72","22260","3.72","0.81","0.12","0.04","0.01","N/A","0.02",7,6,4,1,16,6,7,6,18,4,3,9,21,382093,52.578,38.4,2328418,16,83.5,11.8,0.5,1.9,0.1,2.1,4
"23","30000","Montana","1023579","989417","3.5","989415","6.0","22.0","16.7","49.8","89.4","0.6","6.6","0.8","0.1","2.6","3.5","86.7","83.6","2.0","4.4","92.1","28.7","94404","18.0","491531","68.3","16.8","184200","405525","2.39","25373","46230","15.2","36529","350196","1.8","84251","114398","0.2","2.0","0.6","0.0","1.0","24.6","10638145","8202782","14686854","15343","2079426","3884","145545.8","6.8",236,"1778","376976","381.01","930","121064","122.36","4","331","0.33","407","76869","77.69","204","127612","128.98","6","565","0.57","227","50535","51.08","","3","316","0.32","","","","","","","2","88","0.09","","","","","","","","3","9","644","0.65","26","2562","2.59","","","","","4","363","0.37","1","","","","","","","","","","","","","","","","","","86","16577","16.75","","","","","5","","","6","663","0.67","","","","","","","","","","1","","","","","","","","8","341","0.34","1","267","0.27","2","250","0.25","","","","10","","204","127612","128.98","","","","37","6398","6.47","1","14","1924","1.94","22","3468","3.51","","","","7","1737","1.76","","","9","10","442","0.45","7","774","0.78","","","","","","","","","2","175","0.18","3","71","0.07","","","120","46484","46.98","","1","20","0.02","4","724","0.73","","21","2300","2.32","","","","40","2730","2.76","","","","","3","7","896","0.91","","","","","","","","","","5","3","482","0.49","","","","","","","","","","","","","","3","270","0.27","","","","","","","","","","","41","5297","5.35","","","","","","21","","","","2","544","0.55","13","1778","1.8","","","","126","38665","39.08","0.90","0.01","0.03","N/A","0.03","0.02",38,0,0,4,12,17,32,1,3,10,0,2,3,114056,42.373,38.7,396125,29,89.4,0.6,6.6,0.8,0.1,2.6,3.5
